Fid,age,gender,lunch,parental_level_of_education,degree_t,race_ethnicity,test_preparation_course,math_score,reading_score,writing_score,Internships,solving_tasks_by_time,taks_submitted_on_date,Label
10.42.0.211-23.205.27.180-59858-443-6,21,male,standard,master's degree,Comm&Mgmt,group D,none,40,42,38,0,0,1,0
202.77.129.54-10.42.0.211-80-54561-6,21,male,standard,master's degree,Others,group E,none,97,87,82,1,0,1,0
173.194.68.188-10.42.0.151-5228-57143-6,21,male,standard,associate's degree,Comm&Mgmt,group E,completed,81,81,79,1,0,0,0
172.217.11.46-10.42.0.211-443-32854-6,22,female,standard,associate's degree,Comm&Mgmt,group D,none,74,81,83,0,0,1,0
10.42.0.211-10.42.0.1-35206-53-17,22,female,free/reduced,some high school,Sci&Tech,group D,none,50,64,59,1,0,1,0
10.42.0.42-99.46.84.58-46360-46021-17,22,female,free/reduced,associate's degree,Comm&Mgmt,group D,completed,75,90,88,1,0,1,0
202.77.129.150-10.42.0.211-80-49447-6,22,male,free/reduced,associate's degree,Sci&Tech,group B,none,57,56,57,0,0,1,0
172.217.3.98-10.42.0.211-443-33086-6,22,male,free/reduced,associate's degree,Comm&Mgmt,group C,none,55,61,54,1,0,1,1
10.42.0.151-10.42.0.1-37133-53-17,22,female,standard,associate's degree,Comm&Mgmt,group C,none,58,73,68,0,1,1,0
10.42.0.151-10.42.0.1-25156-53-17,21,female,standard,associate's degree,Others,group B,none,53,58,65,1,1,1,0
172.217.3.97-10.42.0.211-443-34856-6,21,male,free/reduced,master's degree,Comm&Mgmt,group B,completed,59,65,66,1,0,1,0
198.11.136.24-10.42.0.211-443-52591-6,22,female,free/reduced,associate's degree,Comm&Mgmt,group E,none,50,56,54,2,0,0,0
172.217.12.206-10.42.0.151-443-60248-6,21,male,standard,associate's degree,Sci&Tech,group B,none,65,54,57,3,0,1,1
220.170.182.31-10.42.0.211-443-37058-6,22,female,standard,associate's degree,Comm&Mgmt,group A,completed,55,65,62,1,0,0,1
172.217.8.8-10.42.0.151-443-48212-6,21,female,standard,high school,Comm&Mgmt,group C,none,66,71,76,1,0,1,0
10.42.0.211-10.42.0.1-53635-53-17,21,female,free/reduced,associate's degree,Comm&Mgmt,group D,completed,57,74,76,2,0,0,0
199.16.156.107-10.42.0.151-443-52951-6,21,male,standard,high school,Others,group C,completed,82,84,82,0,0,0,0
202.77.129.161-10.42.0.211-80-45556-6,22,male,standard,master's degree,Comm&Mgmt,group E,none,53,55,48,0,0,1,1
10.42.0.211-23.205.27.180-34039-80-6,21,male,free/reduced,associate's degree,Comm&Mgmt,group E,completed,77,69,68,1,0,0,0
219.142.78.162-10.42.0.151-80-54615-6,21,male,standard,master's degree,Comm&Mgmt,group C,none,53,44,42,1,1,1,0
175.100.207.233-10.42.0.211-80-36369-6,21,male,standard,high school,Sci&Tech,group D,none,88,78,75,3,1,0,0
10.42.0.211-115.236.16.203-34329-443-6,21,female,free/reduced,some high school,Comm&Mgmt,group C,completed,71,84,87,3,0,1,0
10.42.0.42-87.240.165.91-58739-443-6,21,female,free/reduced,high school,Comm&Mgmt,group C,none,33,41,43,1,0,0,1
10.42.0.42-52.84.26.207-55239-80-6,21,female,standard,associate's degree,Comm&Mgmt,group E,completed,82,85,86,0,0,1,0
10.42.0.211-10.42.0.1-57966-53-17,21,male,standard,associate's degree,Comm&Mgmt,group D,none,52,55,49,0,0,1,1
182.22.25.124-10.42.0.211-443-37917-6,21,male,standard,master's degree,Comm&Mgmt,group D,completed,58,59,58,0,0,1,0
10.42.0.211-47.89.69.237-35895-443-6,21,female,free/reduced,some high school,Sci&Tech,group C,none,0,17,10,1,0,0,0
10.42.0.211-106.39.162.36-44215-80-6,21,male,free/reduced,bachelor's degree,Comm&Mgmt,group E,completed,79,74,72,2,0,0,1
172.217.3.36-10.42.0.151-443-37155-6,22,male,free/reduced,some high school,Comm&Mgmt,group A,none,39,39,34,0,0,0,0
10.42.0.42-106.11.93.16-35837-443-6,21,male,free/reduced,associate's degree,Sci&Tech,group A,none,62,61,55,0,0,1,1
10.42.0.211-10.42.0.1-20638-53-17,21,female,standard,associate's degree,Comm&Mgmt,group C,none,69,80,71,0,0,1,0
172.217.11.10-10.42.0.211-443-38940-6,21,female,standard,some high school,Comm&Mgmt,group D,none,59,58,59,1,1,1,1
182.254.5.234-10.42.0.211-80-34004-6,22,male,standard,some high school,Comm&Mgmt,group B,none,67,64,61,0,0,1,1
208.80.154.224-10.42.0.211-443-48800-6,22,male,free/reduced,some high school,Comm&Mgmt,group D,none,45,37,37,1,0,1,0
10.42.0.42-61.135.185.139-53282-80-6,21,female,standard,master's degree,Comm&Mgmt,group C,none,60,72,74,0,0,1,0
208.80.154.224-10.42.0.211-443-47825-6,22,male,free/reduced,associate's degree,Sci&Tech,group B,none,61,58,56,2,0,1,1
203.205.147.229-10.42.0.211-80-42837-6,21,female,standard,associate's degree,Sci&Tech,group C,none,39,64,57,0,1,1,0
172.217.10.34-10.42.0.211-443-57245-6,22,female,free/reduced,master's degree,Sci&Tech,group D,completed,58,63,73,1,0,0,0
131.253.61.64-10.42.0.211-443-42869-6,22,male,standard,master's degree,Comm&Mgmt,group D,completed,63,55,63,0,0,1,0
10.42.0.211-104.193.88.109-35018-80-6,22,female,free/reduced,associate's degree,Comm&Mgmt,group A,none,41,51,48,3,0,1,1
172.217.6.195-10.42.0.211-443-56715-6,21,male,free/reduced,some high school,Comm&Mgmt,group C,none,61,57,56,0,0,0,0
182.22.120.252-10.42.0.151-443-43856-6,22,male,standard,some high school,Comm&Mgmt,group C,none,49,49,41,1,0,0,1
10.42.0.211-123.125.115.164-43487-443-6,21,male,free/reduced,associate's degree,Comm&Mgmt,group B,none,44,41,38,0,0,1,0
172.217.9.238-10.42.0.211-443-39218-6,21,male,standard,some high school,Comm&Mgmt,group E,none,30,26,22,0,1,1,1
172.217.10.14-10.42.0.42-443-58558-6,22,male,standard,bachelor's degree,Sci&Tech,group A,completed,80,78,81,0,1,1,0
203.205.158.62-10.42.0.211-80-34145-6,22,female,standard,some high school,Sci&Tech,group D,completed,61,74,72,0,0,1,1
175.100.207.233-10.42.0.211-80-51407-6,21,female,standard,master's degree,Sci&Tech,group E,none,62,68,68,1,0,0,1
10.42.0.42-76.13.28.70-51472-443-6,21,female,standard,associate's degree,Comm&Mgmt,group B,none,47,49,50,0,0,0,1
10.42.0.151-104.69.158.16-43939-443-6,21,male,free/reduced,high school,Comm&Mgmt,group B,none,49,45,45,1,0,0,0
180.163.255.159-10.42.0.42-443-51719-6,22,male,free/reduced,master's degree,Comm&Mgmt,group A,completed,50,47,54,0,1,0,1
183.79.215.139-10.42.0.211-443-33389-6,21,male,standard,associate's degree,Sci&Tech,group E,none,72,64,63,0,0,0,1
10.42.0.211-104.193.88.109-41653-80-6,21,male,free/reduced,high school,Sci&Tech,group D,none,42,39,34,0,1,0,1
216.58.219.227-10.42.0.151-443-39955-6,21,female,standard,master's degree,Comm&Mgmt,group C,none,73,80,82,2,0,0,1
172.217.10.14-10.42.0.151-443-50622-6,21,female,free/reduced,master's degree,Comm&Mgmt,group C,none,76,83,88,0,0,0,0
172.217.11.42-10.42.0.151-443-44676-6,21,female,standard,associate's degree,Others,group D,none,71,71,74,0,0,0,0
10.42.0.211-10.42.0.1-1936-53-17,22,female,standard,master's degree,Comm&Mgmt,group A,none,58,70,67,1,1,0,1
10.42.0.211-64.71.142.124-43037-443-6,22,female,standard,some high school,Sci&Tech,group D,none,73,86,82,1,0,1,0
216.58.219.194-10.42.0.151-443-33116-6,21,female,standard,bachelor's degree,Comm&Mgmt,group C,none,65,72,74,1,0,0,1
10.42.0.151-10.42.0.1-17890-53-17,22,male,free/reduced,high school,Comm&Mgmt,group C,none,27,34,36,1,0,0,0
172.217.10.138-10.42.0.211-443-46898-6,21,male,standard,high school,Comm&Mgmt,group C,none,71,79,71,1,0,0,0
172.217.12.138-10.42.0.151-443-46194-6,22,male,free/reduced,associate's degree,Comm&Mgmt,group C,completed,43,45,50,2,0,1,1
10.42.0.211-66.102.255.40-44175-80-6,22,female,standard,master's degree,Comm&Mgmt,group B,none,79,86,92,0,0,1,0
172.217.6.226-10.42.0.211-443-51230-6,22,male,free/reduced,associate's degree,Comm&Mgmt,group C,completed,78,81,82,1,0,0,0
10.42.0.151-123.125.115.164-46059-443-6,21,male,standard,some high school,Comm&Mgmt,group B,completed,65,66,62,2,0,0,1
172.217.10.110-10.42.0.42-443-57515-6,22,female,standard,master's degree,Comm&Mgmt,group E,completed,63,72,70,0,0,0,1
10.42.0.151-95.213.11.181-33809-80-6,22,female,free/reduced,master's degree,Comm&Mgmt,group D,none,58,67,62,0,0,1,1
180.163.255.159-10.42.0.42-443-50712-6,21,female,standard,bachelor's degree,Sci&Tech,group D,none,65,67,62,0,0,1,1
10.42.0.211-10.42.0.1-42914-53-17,23,male,standard,master's degree,Comm&Mgmt,group B,none,79,67,67,0,0,0,0
172.217.10.106-10.42.0.151-443-48577-6,23,male,standard,bachelor's degree,Comm&Mgmt,group D,completed,68,74,74,0,0,0,0
151.101.45.140-10.42.0.211-443-48539-6,23,female,standard,associate's degree,Comm&Mgmt,group D,none,85,91,89,1,0,0,1
173.194.204.188-10.42.0.211-5228-55354-6,24,male,standard,high school,Sci&Tech,group B,completed,60,44,47,2,0,0,1
140.205.94.6-10.42.0.211-443-53616-6,23,male,standard,master's degree,Comm&Mgmt,group C,completed,98,86,90,0,1,1,1
10.42.0.211-117.121.27.13-42566-80-6,23,female,standard,master's degree,Sci&Tech,group C,none,58,67,72,1,0,0,1
172.217.8.3-10.42.0.211-80-33195-6,24,female,standard,master's degree,Sci&Tech,group D,none,87,100,100,0,0,1,0
180.149.136.194-10.42.0.211-443-35865-6,24,male,standard,associate's degree,Comm&Mgmt,group E,completed,66,63,64,1,0,0,0
156.154.202.36-10.42.0.151-443-41645-6,24,female,free/reduced,associate's degree,Comm&Mgmt,group B,none,52,76,70,1,0,0,1
10.42.0.1-10.42.0.42-53-34364-17,23,female,standard,some high school,Sci&Tech,group B,none,70,64,72,1,0,1,0
172.217.10.230-10.42.0.211-443-59275-6,23,female,free/reduced,associate's degree,Sci&Tech,group D,completed,77,89,98,1,0,0,0
203.205.158.63-10.42.0.211-80-46375-6,24,male,standard,high school,Sci&Tech,group C,none,62,55,49,1,0,1,0
173.241.242.143-10.42.0.151-443-52167-6,24,male,standard,associate's degree,Comm&Mgmt,group A,none,54,53,47,0,0,1,1
10.42.0.211-10.42.0.1-63171-53-17,23,female,standard,master's degree,Comm&Mgmt,group D,none,51,58,54,1,0,1,0
174.35.73.149-10.42.0.211-80-54859-6,24,female,standard,bachelor's degree,Comm&Mgmt,group E,completed,99,100,100,0,0,0,0
172.217.8.3-10.42.0.211-443-49569-6,23,male,standard,high school,Comm&Mgmt,group C,none,84,77,74,0,0,0,1
172.217.3.110-10.42.0.151-443-59847-6,23,female,free/reduced,bachelor's degree,Comm&Mgmt,group B,none,75,85,82,1,1,0,0
172.217.10.34-10.42.0.211-443-42964-6,23,female,standard,bachelor's degree,Sci&Tech,group D,none,78,82,79,1,1,1,0
239.255.255.250-10.42.0.1-1900-37494-17,24,female,standard,some high school,Sci&Tech,group D,none,51,63,61,3,0,1,0
172.217.11.3-10.42.0.151-443-47221-6,23,female,standard,master's degree,Comm&Mgmt,group C,none,55,69,65,0,1,1,1
10.42.0.151-10.42.0.1-60032-53-17,23,female,standard,bachelor's degree,Comm&Mgmt,group C,completed,79,92,89,2,0,1,1
10.42.0.211-31.13.80.52-60843-443-6,23,male,standard,associate's degree,Sci&Tech,group B,completed,91,89,92,1,0,1,1
10.42.0.211-54.192.37.187-49025-80-6,23,female,standard,master's degree,Comm&Mgmt,group C,completed,88,93,93,1,0,0,0
182.22.25.124-10.42.0.151-443-56821-6,23,male,free/reduced,high school,Comm&Mgmt,group D,none,63,57,56,1,0,1,0
202.77.129.150-10.42.0.42-443-59375-6,23,male,standard,master's degree,Others,group E,none,83,80,73,2,1,0,0
10.42.0.211-87.240.165.80-45641-80-6,24,female,standard,high school,Comm&Mgmt,group B,none,87,95,86,1,0,0,0
10.42.0.211-23.23.129.231-56234-443-6,24,male,standard,some high school,Sci&Tech,group B,none,72,68,67,1,0,0,1
182.22.24.252-10.42.0.42-80-44312-6,24,male,standard,master's degree,Comm&Mgmt,group D,completed,65,77,74,2,0,1,0
10.42.0.211-10.42.0.1-59100-53-17,24,male,standard,master's degree,Sci&Tech,group D,none,82,82,74,0,0,0,0
10.42.0.211-23.194.141.143-59112-443-6,24,female,standard,bachelor's degree,Comm&Mgmt,group A,none,51,49,51,1,0,0,1
208.80.154.224-10.42.0.211-443-47890-6,23,male,standard,master's degree,Comm&Mgmt,group D,none,89,84,82,0,1,0,0
10.42.0.211-52.76.136.219-34988-80-6,23,male,free/reduced,some high school,Others,group C,completed,53,37,40,0,0,0,0
10.42.0.211-123.125.115.164-46939-443-6,23,male,free/reduced,master's degree,Comm&Mgmt,group E,completed,87,74,70,1,1,1,0
172.217.10.42-10.42.0.42-443-34097-6,24,female,standard,master's degree,Comm&Mgmt,group C,completed,75,81,84,1,0,0,1
10.42.0.151-52.88.110.117-34209-443-6,23,male,free/reduced,bachelor's degree,Comm&Mgmt,group D,completed,74,79,75,1,1,1,0
157.240.18.15-10.42.0.211-443-56466-6,24,male,standard,bachelor's degree,Comm&Mgmt,group C,none,58,55,48,0,0,1,0
10.42.0.211-106.11.94.27-39160-443-6,24,male,standard,some high school,Comm&Mgmt,group B,completed,51,54,41,0,0,0,1
10.42.0.211-104.193.88.109-35298-80-6,24,male,standard,high school,Comm&Mgmt,group E,none,70,55,56,0,0,1,0
10.42.0.42-115.239.210.141-52033-80-6,23,female,standard,associate's degree,Sci&Tech,group C,none,59,66,67,0,0,1,0
10.42.0.211-88.212.196.104-37051-443-6,24,male,standard,master's degree,Comm&Mgmt,group D,completed,71,61,69,0,1,1,0
10.42.0.211-77.234.44.199-47955-80-6,23,female,standard,some high school,Comm&Mgmt,group D,none,76,72,71,1,0,1,0
172.217.10.10-10.42.0.42-443-60959-6,23,female,free/reduced,master's degree,Comm&Mgmt,group C,none,59,62,64,0,0,0,1
10.42.0.1-10.42.0.42-53-40904-17,24,female,free/reduced,master's degree,Sci&Tech,group E,completed,42,55,54,3,0,0,0
203.205.158.63-10.42.0.211-80-38565-6,24,male,standard,high school,Comm&Mgmt,group A,none,57,43,47,2,0,0,0
10.42.0.151-31.13.80.5-38931-443-6,24,male,standard,master's degree,Comm&Mgmt,group D,none,88,73,78,2,0,0,1
10.42.0.211-23.219.23.167-53385-80-6,23,female,free/reduced,master's degree,Sci&Tech,group C,none,22,39,33,0,1,0,0
182.22.24.252-10.42.0.151-443-38587-6,24,male,standard,some high school,Comm&Mgmt,group B,none,88,84,75,1,0,0,0
157.240.18.19-10.42.0.211-443-52381-6,23,male,free/reduced,associate's degree,Comm&Mgmt,group C,none,73,68,66,0,1,0,0
172.217.12.132-10.42.0.211-443-33360-6,23,female,standard,bachelor's degree,Others,group D,completed,68,75,81,0,0,0,0
205.204.101.182-10.42.0.211-443-60121-6,24,male,free/reduced,associate's degree,Comm&Mgmt,group E,completed,100,100,93,1,0,0,0
10.42.0.151-66.231.239.124-37683-80-6,23,male,standard,some high school,Sci&Tech,group A,completed,62,67,69,0,0,1,0
174.35.73.110-10.42.0.211-80-34158-6,24,male,standard,bachelor's degree,Comm&Mgmt,group A,none,77,67,68,0,0,1,1
10.42.0.151-69.147.82.60-41186-443-6,23,female,standard,associate's degree,Sci&Tech,group B,completed,59,70,66,1,0,1,0
172.217.10.131-10.42.0.151-443-56465-6,23,male,standard,bachelor's degree,Sci&Tech,group D,none,54,49,47,2,0,1,1
172.217.12.202-10.42.0.211-443-54414-6,24,male,standard,some high school,Comm&Mgmt,group D,none,62,67,61,0,0,1,0
10.42.0.211-64.71.142.95-38449-443-6,24,female,standard,master's degree,Comm&Mgmt,group C,completed,70,89,88,2,0,1,1
202.77.129.150-10.42.0.211-80-53575-6,23,female,free/reduced,high school,Sci&Tech,group E,completed,66,74,78,0,0,0,0
10.42.0.1-10.42.0.42-53-46278-17,24,male,free/reduced,master's degree,Comm&Mgmt,group B,none,60,60,60,2,0,0,0
10.42.0.211-66.102.255.61-58362-80-6,23,female,standard,associate's degree,Sci&Tech,group B,completed,61,86,87,1,0,0,0
10.42.0.151-104.193.88.109-40161-80-6,24,male,free/reduced,associate's degree,Comm&Mgmt,group D,none,66,62,64,0,0,0,0
10.42.0.151-52.84.134.181-54917-443-6,22,male,free/reduced,associate's degree,Sci&Tech,group B,completed,82,78,74,0,0,1,1
10.42.0.151-14.17.42.57-33208-80-6,22,female,free/reduced,master's degree,Comm&Mgmt,group E,completed,75,88,85,0,1,1,1
208.80.154.224-10.42.0.211-443-33429-6,22,male,free/reduced,master's degree,Comm&Mgmt,group B,none,49,53,52,1,0,0,0
151.101.1.140-10.42.0.151-443-40609-6,21,male,standard,high school,Sci&Tech,group C,none,52,53,49,1,0,0,1
10.42.0.211-103.7.30.118-57942-80-6,21,female,standard,master's degree,Comm&Mgmt,group E,none,81,92,91,3,1,1,1
206.126.112.142-10.42.0.151-443-54566-6,21,female,standard,bachelor's degree,Comm&Mgmt,group C,completed,96,100,100,0,0,0,1
10.42.0.211-10.42.0.1-21705-53-17,21,male,free/reduced,high school,Comm&Mgmt,group C,completed,53,51,51,0,0,0,1
10.42.0.211-123.125.46.112-52984-80-6,21,female,free/reduced,master's degree,Sci&Tech,group B,completed,58,76,78,1,0,0,0
10.42.0.42-52.84.1.250-35827-443-6,22,female,standard,high school,Comm&Mgmt,group B,completed,68,83,78,1,0,1,1
10.42.0.211-10.42.0.1-37033-53-17,22,female,free/reduced,master's degree,Sci&Tech,group C,completed,67,75,70,1,0,1,0
172.217.10.237-10.42.0.42-443-59846-6,21,male,standard,high school,Comm&Mgmt,group A,completed,72,73,74,1,0,0,0
10.42.0.211-77.234.44.79-34122-443-6,21,male,standard,some high school,Comm&Mgmt,group E,none,94,88,78,2,0,1,0
10.42.0.211-66.198.24.243-49085-80-6,21,female,standard,master's degree,Comm&Mgmt,group D,none,79,86,81,1,0,0,1
10.42.0.211-66.198.24.243-48099-80-6,22,female,standard,associate's degree,Sci&Tech,group C,none,63,67,70,0,0,1,0
10.42.0.211-10.42.0.1-30970-53-17,22,female,free/reduced,bachelor's degree,Sci&Tech,group C,completed,43,51,54,0,0,1,0
222.73.28.96-10.42.0.42-80-56096-6,21,female,standard,master's degree,Sci&Tech,group C,completed,81,91,87,0,0,0,1
10.42.0.211-10.42.0.1-47044-53-17,21,female,free/reduced,high school,Comm&Mgmt,group B,completed,46,54,58,0,0,1,0
220.181.7.190-10.42.0.211-443-36553-6,22,female,standard,associate's degree,Comm&Mgmt,group C,completed,71,77,77,1,1,1,0
10.42.0.151-10.42.0.1-46041-53-17,22,female,free/reduced,master's degree,Sci&Tech,group B,completed,52,70,62,1,0,0,0
172.217.19.195-10.42.0.151-443-52855-6,21,female,standard,some high school,Sci&Tech,group D,completed,97,100,100,1,1,1,0
10.42.0.211-52.84.29.55-45129-443-6,22,male,free/reduced,master's degree,Comm&Mgmt,group C,completed,62,68,75,1,1,1,1
172.217.11.35-10.42.0.151-443-48860-6,22,female,free/reduced,master's degree,Sci&Tech,group C,none,46,64,66,2,0,1,0
10.42.0.1-10.42.0.42-53-19781-17,21,female,standard,high school,Others,group E,none,50,50,47,1,0,0,0
10.42.0.211-36.51.254.232-56570-443-6,22,female,standard,associate's degree,Comm&Mgmt,group D,none,65,69,70,0,0,0,1
216.58.212.131-10.42.0.42-443-59811-6,21,male,free/reduced,some high school,Comm&Mgmt,group C,completed,45,52,49,2,0,0,0
180.163.255.159-10.42.0.151-443-54087-6,22,male,free/reduced,associate's degree,Others,group C,completed,65,67,65,1,0,0,0
10.42.0.151-106.39.169.66-52302-80-6,21,male,standard,high school,Comm&Mgmt,group E,none,80,76,65,1,1,1,0
180.149.136.247-10.42.0.42-80-45852-6,21,male,standard,some high school,Sci&Tech,group D,completed,62,66,68,1,0,1,0
10.42.0.211-106.11.92.16-36113-443-6,22,male,free/reduced,some high school,Comm&Mgmt,group B,none,48,52,45,1,1,1,0
10.42.0.42-47.89.69.218-56730-443-6,21,female,standard,bachelor's degree,Comm&Mgmt,group C,none,77,88,87,0,0,0,0
10.42.0.211-121.12.98.64-40866-80-6,22,female,standard,associate's degree,Comm&Mgmt,group E,none,66,65,69,0,0,0,1
10.42.0.151-10.42.0.1-41916-53-17,22,male,standard,master's degree,Comm&Mgmt,group D,completed,76,83,79,0,0,0,0
216.58.219.234-10.42.0.151-443-40262-6,21,female,standard,some high school,Comm&Mgmt,group B,none,62,64,66,0,1,1,1
173.194.204.188-10.42.0.151-5228-60764-6,21,male,standard,master's degree,Others,group D,completed,77,62,62,0,0,1,0
10.42.0.211-103.7.30.118-56683-80-6,21,female,standard,master's degree,Comm&Mgmt,group C,completed,69,84,85,0,0,0,1
205.185.216.42-10.42.0.42-80-51617-6,22,male,standard,associate's degree,Comm&Mgmt,group D,none,61,55,52,1,1,0,0
10.42.0.211-104.192.110.245-53575-80-6,21,male,free/reduced,some high school,Sci&Tech,group C,completed,59,69,65,2,1,1,0
172.217.12.206-10.42.0.151-443-44129-6,21,male,free/reduced,high school,Sci&Tech,group E,none,55,56,51,1,1,0,0
10.42.0.211-10.42.0.1-63150-53-17,22,female,free/reduced,master's degree,Others,group B,none,45,53,55,2,1,0,0
202.77.129.161-10.42.0.151-80-51280-6,21,female,free/reduced,bachelor's degree,Comm&Mgmt,group B,none,78,79,76,0,0,0,1
10.42.0.211-111.221.77.172-60774-443-17,21,female,standard,associate's degree,Comm&Mgmt,group C,completed,67,84,86,2,0,1,0
172.217.0.226-10.42.0.211-443-41678-6,22,female,free/reduced,master's degree,Comm&Mgmt,group D,none,65,81,77,1,0,1,0
173.194.206.156-10.42.0.211-443-52016-6,21,male,standard,associate's degree,Sci&Tech,group C,none,69,77,69,2,1,1,0
10.42.0.151-10.42.0.1-5992-53-17,21,female,standard,associate's degree,Comm&Mgmt,group B,none,57,69,68,1,0,1,1
10.42.0.151-54.192.38.65-43750-443-6,21,male,standard,master's degree,Comm&Mgmt,group C,none,59,41,42,1,1,1,0
10.42.0.151-104.43.254.159-43659-443-6,21,male,standard,some high school,Comm&Mgmt,group D,completed,74,71,78,0,1,1,0
10.42.0.151-52.173.205.111-35623-443-6,22,male,standard,bachelor's degree,Comm&Mgmt,group E,none,82,62,62,0,1,1,1
183.79.250.251-10.42.0.151-443-36771-6,22,male,standard,high school,Comm&Mgmt,group E,completed,81,80,76,1,0,1,0
203.130.53.126-10.42.0.211-80-50486-6,21,female,free/reduced,master's degree,Comm&Mgmt,group B,none,74,81,76,0,0,1,0
172.217.12.142-10.42.0.42-80-49005-6,21,female,free/reduced,master's degree,Comm&Mgmt,group B,none,58,61,66,0,0,1,0
169.47.42.203-10.42.0.42-443-45980-6,21,male,free/reduced,some high school,Comm&Mgmt,group D,completed,80,79,79,2,0,1,0
172.217.10.42-10.42.0.42-443-43942-6,21,male,free/reduced,master's degree,Sci&Tech,group C,none,35,28,27,1,0,1,1
10.42.0.211-101.227.14.98-42775-80-6,22,female,free/reduced,high school,Comm&Mgmt,group C,none,42,62,60,0,0,1,0
